hour,count
2016-01-01 01:00:00,83967
2016-01-01 02:00:00,65912
2016-01-01 03:00:00,34942
2016-01-01 04:00:00,21715
2016-01-01 05:00:00,16779
2016-01-01 06:00:00,20134
2016-01-01 07:00:00,40575
2016-01-01 08:00:00,99034
2016-01-01 09:00:00,147026
2016-01-01 10:00:00,181855
2016-01-01 11:00:00,202047
2016-01-01 12:00:00,197672
2016-01-01 13:00:00,186812
2016-01-01 14:00:00,205181
2016-01-01 15:00:00,216095
2016-01-01 16:00:00,219346
2016-01-01 17:00:00,230764
2016-01-01 18:00:00,204068
2016-01-01 19:00:00,150969
2016-01-01 20:00:00,146896
2016-01-01 21:00:00,147499
2016-01-01 22:00:00,121231
2016-01-01 23:00:00,85263
2016-01-02 00:00:00,52776
2016-01-02 01:00:00,35214
2016-01-02 02:00:00,23405
2016-01-02 03:00:00,13998
2016-01-02 04:00:00,10949
2016-01-02 05:00:00,12043
2016-01-02 06:00:00,17075
2016-01-02 07:00:00,37968
2016-01-02 08:00:00,105591
2016-01-02 09:00:00,160075
2016-01-02 10:00:00,194528
2016-01-02 11:00:00,208787
2016-01-02 12:00:00,187738
2016-01-02 13:00:00,196454
2016-01-02 14:00:00,228858
2016-01-02 15:00:00,237086
2016-01-02 16:00:00,226408
2016-01-02 17:00:00,242039
2016-01-02 18:00:00,226758
2016-01-02 19:00:00,173291
2016-01-02 20:00:00,156198
2016-01-02 21:00:00,160820
2016-01-02 22:00:00,130061
2016-01-02 23:00:00,89590
2016-01-03 00:00:00,57088
2016-01-03 01:00:00,39176
2016-01-03 02:00:00,25906
2016-01-03 03:00:00,16274
2016-01-03 04:00:00,12521
2016-01-03 05:00:00,13803
2016-01-03 06:00:00,18437
2016-01-03 07:00:00,39213
2016-01-03 08:00:00,122479
2016-01-03 09:00:00,184741
2016-01-03 10:00:00,209767
2016-01-03 11:00:00,218261
2016-01-03 12:00:00,200334
2016-01-03 13:00:00,210978
2016-01-03 14:00:00,244921
2016-01-03 15:00:00,253297
2016-01-03 16:00:00,261801
2016-01-03 17:00:00,272053
2016-01-03 18:00:00,243440
2016-01-03 19:00:00,184083
2016-01-03 20:00:00,172503
2016-01-03 21:00:00,166216
2016-01-03 22:00:00,126569
2016-01-03 23:00:00,85374
2016-01-04 00:00:00,51244
2016-01-04 01:00:00,32717
2016-01-04 02:00:00,20639
2016-01-04 03:00:00,12114
2016-01-04 04:00:00,9219
2016-01-04 05:00:00,11009
2016-01-04 06:00:00,19112
2016-01-04 07:00:00,83659
2016-01-04 08:00:00,307800
2016-01-04 09:00:00,329819
2016-01-04 10:00:00,267635
2016-01-04 11:00:00,219776
2016-01-04 12:00:00,201428
2016-01-04 13:00:00,196991
2016-01-04 14:00:00,212157
2016-01-04 15:00:00,213254
2016-01-04 16:00:00,223725
2016-01-04 17:00:00,232685
2016-01-04 18:00:00,220540
2016-01-04 19:00:00,188221
2016-01-04 20:00:00,151481
2016-01-04 21:00:00,131028
2016-01-04 22:00:00,103786
2016-01-04 23:00:00,69916
2016-01-05 00:00:00,42467
2016-01-05 01:00:00,26195
2016-01-05 02:00:00,17035
2016-01-05 03:00:00,10319
2016-01-05 04:00:00,8666
2016-01-05 05:00:00,10187
2016-01-05 06:00:00,15259
2016-01-05 07:00:00,63281
2016-01-05 08:00:00,250764
2016-01-05 09:00:00,306627
2016-01-05 10:00:00,260726
2016-01-05 11:00:00,223559
2016-01-05 12:00:00,199684
2016-01-05 13:00:00,189286
2016-01-05 14:00:00,214739
2016-01-05 15:00:00,220162
2016-01-05 16:00:00,229023
2016-01-05 17:00:00,253909
2016-01-05 18:00:00,229455
2016-01-05 19:00:00,189940
2016-01-05 20:00:00,145781
2016-01-05 21:00:00,123074
2016-01-05 22:00:00,95997
2016-01-05 23:00:00,68402
2016-01-06 00:00:00,39610
2016-01-06 01:00:00,25512
2016-01-06 02:00:00,17692
2016-01-06 03:00:00,11399
2016-01-06 04:00:00,9968
2016-01-06 05:00:00,11328
2016-01-06 06:00:00,17421
2016-01-06 07:00:00,73382
2016-01-06 08:00:00,290731
2016-01-06 09:00:00,330813
2016-01-06 10:00:00,280053
2016-01-06 11:00:00,229944
2016-01-06 12:00:00,201529
2016-01-06 13:00:00,201111
2016-01-06 14:00:00,226497
2016-01-06 15:00:00,226911
2016-01-06 16:00:00,235195
2016-01-06 17:00:00,260140
2016-01-06 18:00:00,277029
2016-01-06 19:00:00,227165
2016-01-06 20:00:00,166723
2016-01-06 21:00:00,149275
2016-01-06 22:00:00,125126
2016-01-06 23:00:00,84803
2016-01-07 00:00:00,51870
2016-01-07 01:00:00,33664
2016-01-07 02:00:00,21976
2016-01-07 03:00:00,12936
2016-01-07 04:00:00,10378
2016-01-07 05:00:00,12587
2016-01-07 06:00:00,18607
2016-01-07 07:00:00,79426
2016-01-07 08:00:00,294041
2016-01-07 09:00:00,325613
2016-01-07 10:00:00,247249
2016-01-07 11:00:00,1998
2016-01-07 12:00:00,130
2016-01-07 13:00:00,520
2016-01-07 14:00:00,1326
2016-01-07 15:00:00,118689
2016-01-07 16:00:00,234562
2016-01-07 17:00:00,249499
2016-01-07 18:00:00,257881
2016-01-07 19:00:00,214446
2016-01-07 20:00:00,157794
2016-01-07 21:00:00,142237
2016-01-07 22:00:00,117322
2016-01-07 23:00:00,79881
2016-01-08 00:00:00,47170
2016-01-08 01:00:00,30161
2016-01-08 02:00:00,18953
2016-01-08 03:00:00,12038
2016-01-08 04:00:00,9840
2016-01-08 05:00:00,10809
2016-01-08 06:00:00,16019
2016-01-08 07:00:00,69143
2016-01-08 08:00:00,278377
2016-01-08 09:00:00,304380
2016-01-08 10:00:00,262841
2016-01-08 11:00:00,180748
2016-01-08 12:00:00,3816
2016-01-08 13:00:00,165478
2016-01-08 14:00:00,240128
2016-01-08 15:00:00,255072
2016-01-08 16:00:00,270717
2016-01-08 17:00:00,284911
2016-01-08 18:00:00,284240
2016-01-08 19:00:00,228487
2016-01-08 20:00:00,184349
2016-01-08 21:00:00,166855
2016-01-08 22:00:00,143548
2016-01-08 23:00:00,100271
2016-01-09 00:00:00,62869
2016-01-09 01:00:00,43958
2016-01-09 02:00:00,29173
2016-01-09 03:00:00,19306
2016-01-09 04:00:00,13838
2016-01-09 05:00:00,12959
2016-01-09 06:00:00,16371
2016-01-09 07:00:00,40694
2016-01-09 08:00:00,135309
2016-01-09 09:00:00,210839
2016-01-09 10:00:00,223279
2016-01-09 11:00:00,235780
2016-01-09 12:00:00,225454
2016-01-09 13:00:00,241840
2016-01-09 14:00:00,261621
2016-01-09 15:00:00,257617
2016-01-09 16:00:00,261585
2016-01-09 17:00:00,258910
2016-01-09 18:00:00,240533
2016-01-09 19:00:00,186073
2016-01-09 20:00:00,150625
2016-01-09 21:00:00,153683
2016-01-09 22:00:00,125893
2016-01-09 23:00:00,91004
2016-01-10 00:00:00,61903
2016-01-10 01:00:00,40112
2016-01-10 02:00:00,25561
2016-01-10 03:00:00,15306
2016-01-10 04:00:00,12241
2016-01-10 05:00:00,12025
2016-01-10 06:00:00,15173
2016-01-10 07:00:00,29462
2016-01-10 08:00:00,98073
2016-01-10 09:00:00,166768
2016-01-10 10:00:00,196962
2016-01-10 11:00:00,216073
2016-01-10 12:00:00,210673
2016-01-10 13:00:00,217790
2016-01-10 14:00:00,228017
2016-01-10 15:00:00,226899
2016-01-10 16:00:00,224609
2016-01-10 17:00:00,213982
2016-01-10 18:00:00,154334
2016-01-10 19:00:00,124802
2016-01-10 20:00:00,105276
2016-01-10 21:00:00,107426
2016-01-10 22:00:00,89525
2016-01-10 23:00:00,58245
2016-01-11 00:00:00,35349
2016-01-11 01:00:00,24233
2016-01-11 02:00:00,15078
2016-01-11 03:00:00,8722
2016-01-11 04:00:00,7523
2016-01-11 05:00:00,9796
2016-01-11 06:00:00,14902
2016-01-11 07:00:00,65617
2016-01-11 08:00:00,213602
2016-01-11 09:00:00,254290
2016-01-11 10:00:00,219268
2016-01-11 11:00:00,200361
2016-01-11 12:00:00,184748
2016-01-11 13:00:00,189785
2016-01-11 14:00:00,206278
2016-01-11 15:00:00,203520
2016-01-11 16:00:00,217494
2016-01-11 17:00:00,197831
2016-01-11 18:00:00,198090
2016-01-11 19:00:00,166845
2016-01-11 20:00:00,125875
2016-01-11 21:00:00,112202
2016-01-11 22:00:00,91579
2016-01-11 23:00:00,64727
2016-01-12 00:00:00,41816
2016-01-12 01:00:00,27940
2016-01-12 02:00:00,18126
2016-01-12 03:00:00,11856
2016-01-12 04:00:00,9728
2016-01-12 05:00:00,11031
2016-01-12 06:00:00,16544
2016-01-12 07:00:00,70395
2016-01-12 08:00:00,268288
2016-01-12 09:00:00,302806
2016-01-12 10:00:00,265939
2016-01-12 11:00:00,238545
2016-01-12 12:00:00,214425
2016-01-12 13:00:00,209289
2016-01-12 14:00:00,233632
2016-01-12 15:00:00,239411
2016-01-12 16:00:00,254916
2016-01-12 17:00:00,269499
2016-01-12 18:00:00,278098
2016-01-12 19:00:00,224370
2016-01-12 20:00:00,168458
2016-01-12 21:00:00,155907
2016-01-12 22:00:00,128459
2016-01-12 23:00:00,86244
2016-01-13 00:00:00,51681
2016-01-13 01:00:00,34925
2016-01-13 02:00:00,22046
2016-01-13 03:00:00,13427
2016-01-13 04:00:00,10682
2016-01-13 05:00:00,12464
2016-01-13 06:00:00,18351
2016-01-13 07:00:00,88055
2016-01-13 08:00:00,299990
2016-01-13 09:00:00,315228
2016-01-13 10:00:00,281424
2016-01-13 11:00:00,246669
2016-01-13 12:00:00,223749
2016-01-13 13:00:00,217677
2016-01-13 14:00:00,238506
2016-01-13 15:00:00,237989
2016-01-13 16:00:00,262560
2016-01-13 17:00:00,287336
2016-01-13 18:00:00,285986
2016-01-13 19:00:00,233920
2016-01-13 20:00:00,176976
2016-01-13 21:00:00,162031
2016-01-13 22:00:00,133636
